id,descripcion,nombre,fecha_final
5,"Descripción del Proyecto D","Proyecto D",NULL
6,"Descripción del Proyecto E","Proyecto E",NULL
7,"soy un saludo",hola,NULL
8,"soy frances",Francia,NULL
9,programa,Pablo,NULL
11,"soy la descrip del 11","Prueba con el 11",NULL
12,,,NULL
13,fdgfdg,fdg,NULL
14,fdgfdg,waa,NULL
15,"se ha conseguido",Definitivo,NULL
16,"se ha conseguido2",Definitivo2,NULL
17,"se ha conseguido3",Definitivo3,NULL
18,"se ha conseguido3",Definitivo3,2023-12-31
19,"se ha conseguido4",Definitivo4,2023-12-31
20,"se ha conseguido5",Definitivo5,2023-12-31
21,"se ha conseguido6",Definitivo6,2024-12-31
22,"se ha conseguido7",Definitivo7,2024-12-28
23,,"sin fecha",NULL
